,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
332,20230423,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_300x600_exclusive",300x600,111,0.27
331,20230423,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_970x250_AXT",970x250,0,0.0
330,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR6_JP",120x600,0,0.0
329,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_970x250_AXT",970x250,6,0.05
328,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_EOA_JP",970x90,1,0.02
11631,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_300x600_INR2_HP",300x600,1,0.0
327,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_970x250_INR3_RP",336x280,5,0.05
365,20230423,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_320x50_header",320x50,2,0.0
11517,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR4_CP",728x90,0,0.0
368,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR1_HP",320x50,0,0.0
379,20230423,Web,playerswiki.com,/103512698/22868887444,630x90,0,0.0
11405,20230423,AMP,thehindu.com,/22390678/Hindu_AMP_Bottom,336x280,0,0.0
11406,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR5_JP",336x280,0,0.0
11407,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_320x50_AXT",320x50,258,0.36
11408,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_970x250_EOA_RP",970x250,9,0.1
11409,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR3_TAG",160x600,0,0.0
11410,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR3_JP",320x50,0,0.0
484,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR2_RP",336x280,4,0.01
483,20230423,Web,wallpaperaccess.com,"21804848220,22440675056/ATD_Wallpaperaccess/ATD_300x50_AXT",300x50,822,0.52
482,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR2_JP",336x280,12,0.05
11411,20230423,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_EOA_HP",320x100,0,0.0
481,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR2_RP",300x600,1101,11.92
11445,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_320x100_AXT",320x100,1,0.0
410,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_CP",160x600,0,0.0
400,20230423,Web,glamourpath.com,"21804848220,22445109981/ATD_Glamourpath/ATD_300x50_AXT",300x50,0,0.0
398,20230423,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_HP",120x600,0,0.0
11456,20230423,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR6_JP",300x50,0,0.0
395,20230423,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x250_MH_M_CP",300x250,0,0.0
11461,20230423,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_MID_300x250,336x280,154,0.06
11468,20230423,Web,heartlandcooking.com,"21804848220,22690441817/ATD_Heartlandcooking/ATD_970x250_EOA_CP",970x250,0,0.0
11469,20230423,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_RP",300x100,0,0.0
11480,20230423,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR2_TAG",300x600,1,0.0
11483,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_CP",320x50,0,0.0
11491,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR1_HP",120x600,0,0.0
11502,20230423,Web,playerswiki.com,"21804848220,21667394145/ATD_Playerswiki/ATD_970x90_CenterFooter_HP",728x90,0,0.0
388,20230423,Web,kookmutsjes.com,"21804848220,21908065997/ATD_Kook/ATD_300x250_INR5_SP_D",336x280,1,0.0
10017,20230423,AMP,deccanherald.com,/1013527/dh_amp_display_hp_mlb_ftr,320x50,286,0.06
10612,20230423,Web,casebriefs.com,135807292/VideoTop,728x90,0,0.0
10015,20230423,Web,mapsofworld.com,1152375/ATD_MOW/ATD_970x90_AXT,970x90,182,0.09
9555,20230423,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_CP",300x50,0,0.0
