,Date,Inventory Type,Site Name,Slot Name,Slot Size,Impressions,Earnings
4820,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_970x250_MH_WP",728x90,70,0.26
4821,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_BMP_RP",320x50,21,0.12
4822,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_970x250_ESP_INR1,970x250,80,0.03
4834,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR5_JP",970x90,0,0.0
4853,20230429,AMP,bhaskar.com,/28928716/Bhaskar/AMP/M.DAB_AMP_BTF3_300x250,336x280,0,0.0
4855,20230429,Web,texashillcountry.com,"21804848220,22430105552/ATD_Texashillcountry/ATD_300x600_Intentt",300x600,5,0.02
4856,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_300x250_M_INR3_JP",1x1,0,0.0
4869,20230429,Web,mybaseguide.com,9345627/ATD_Mybaseguide/ATD_970x250_ATD_D_LB_SP,970x250,0,0.0
4894,20230429,AMP,prajavani.net,/1013527/pv_amp_display_sp_mlb_ftr,320x50,0,0.0
4907,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_CP",320x100,0,0.0
4914,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR1_RP",320x100,0,0.0
4916,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR3_CP",120x600,0,0.0
4922,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_EOA_TAG",320x50,0,0.0
4932,20230429,Web,deccanherald.com,1013527/ATD_dch/ATD_300x250_S1_P3,160x600,213,0.30000000000000004
4933,20230429,Web,becauseofthemwecan.com,22789242389/ATD_becauseofthemwecan.com/ATD_300x250_EOA,300x600,0,0.0
4934,20230429,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_160x600_RHS",160x600,39,0.14
4935,20230429,Web,deccanherald.com,1013527/ATD_dch/ATD_320x50_GENERAL,320x50,498,0.29
4936,20230429,AMP,divyabhaskar.co.in,/28928716/Divyabhaskar/AMP/M.DIVB_AMP_AL_ATF_300x250,200x200,118,0.0
4941,20230429,Web,wordthirst.com,"21804848220,22690441817/ATD_WordThirst/ATD_300x600_M_INR1_WP",300x250,14,0.03
4942,20230429,Web,schoolofwordplay.com,"21804848220,22690441817/ATD_SchoolofWordPlay/ATD_300x600_M_INR1_WP",336x280,4,0.01
4947,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_INR2_RP",1x1,0,0.0
4948,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_970x250_EOA_RP",1x1,0,0.0
4962,20230429,Web,thenewsminute.com,28110228/ATD_newsm/ATD_728x90_AXT,728x90,117,0.21
4970,20230429,Web,commandcooking.com,"21804848220,22690441817/ATD_CommandCooking/ATD_300x250_M_EOA_HP",300x600,2,0.02
4974,20230429,Web,marriedceleb.com,"21804848220,21882441394/ATD_marriedceleb/ATD_970x250_Top",970x90,0,0.0
5012,20230429,Web,funnyeditor.com,"21804848220,22690441817/ATD_FunnyEditor/ATD_970x250_INR4_HP",728x90,0,0.0
5026,20230429,Web,mapsofworld.com,1152375/ATD_MOW/ATD_300x250_Mobile,300x250,0,0.0
5029,20230429,Web,playerswiki.com,/103512698/22868978639,602x100,0,0.0
5036,20230429,Web,glamourfame-com.translate.goog,unknown,other,0,0.0
5039,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_INR3_RP",320x50,9,0.07
5040,20230429,Web,easiereats.com,"21804848220,22690441817/ATD_EE/ATD_300x250_M_INR3_RP",160x600,15,0.12
5041,20230429,Web,cookingprofessionally.com,"21804848220,22690441817/ATD_CookingProfessional/ATD_300x250_M_BMP_RP",300x250,124,0.91
