"Day","Property","Player Id","Player Name","Ad Impressions","Connatix Demand Revenue","Ad Wins"
"03-JAN-2024","texashillcountry-com.translate.goog","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",0,0.00,0
"03-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1563,4.32,1563
"04-JAN-2024","cookingprofessionally.com","2618c795-6de1-4144-984c-05ff385dd7d4","CP - Article Recommendation",2,0.00,2
"04-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"04-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",7,0.01,7
"04-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",650,0.95,650
"04-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",298,0.56,298
"04-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1312,3.64,1312
"05-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"05-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"05-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",476,0.82,476
"05-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",372,0.80,372
"05-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1481,4.67,1481
"06-JAN-2024","heartlandcooking.com","0498a749-5ce1-4fe2-b909-7bd76734d093","HLC - Article Recommendation - No float",3,0.01,3
"06-JAN-2024","hindi-filmibeat-com.translate.goog","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"06-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"06-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"06-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",454,0.84,454
"06-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",507,1.01,507
"06-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1731,4.74,1731
"06-JAN-2024","www.yummly.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",0,0.00,0
"07-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"07-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",32,0.05,32
"07-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",509,0.94,509
"07-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",525,1.05,525
"07-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1384,3.42,1384
"08-JAN-2024","hindi.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",1,0.00,1
"08-JAN-2024","kannada.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",3,0.00,3
"08-JAN-2024","malayalam-filmibeat-com.translate.goog","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",0,0.00,0
"08-JAN-2024","malayalam.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",508,0.77,508
"08-JAN-2024","telugu.filmibeat.com","4ec4bc37-419b-4ef1-b900-d6df3d9172da","Filmibeat in-feed + float",387,0.73,387
"08-JAN-2024","texashillcountry.com","30dc3971-091d-47c0-b868-2f864e001016","Texas Hill Country in-feed",1436,4.49,1436
"Total:",,,,198100,362.64,198100
