"Day","Property","Line Item Name","Ad Impressions","Publisher Demand Revenue","Connatix Demand Revenue","CPM ($)"
"12-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",83,0.20,0.00,2.38
"12-DEC-2023","commandcooking.com","Rise Line Item",382,1.06,0.00,2.78
"12-DEC-2023","commandcooking.com","Sharethrough - Line item",399,2.46,0.00,6.17
"12-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",369,1.15,0.00,3.12
"12-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",8958,16.51,0.00,1.84
"12-DEC-2023","commandcooking.com","Unruly Line Item",212,0.78,0.00,3.69
"12-DEC-2023","commandcooking.com","Xandr - CC - Line Item",157,0.50,0.00,3.20
"12-DEC-2023","glamourfame.com","Unruly Line Item",4,0.01,0.00,3.38
"12-DEC-2023","texashillcountry.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",1195,2.13,0.00,1.78
"12-DEC-2023","texashillcountry.com","Unruly Line Item",9,0.02,0.00,2.64
"12-DEC-2023","www.flickchart.com","Unruly Line Item",3,0.01,0.00,4.34
"12-DEC-2023","www.golaurens.com","GoLaurens_ATD IND_Atd_AdX-IN_video",6180,1.85,0.00,0.30
"12-DEC-2023","www.golaurens.com","Media.net - S2S - Line Item",15,0.04,0.00,2.86
"12-DEC-2023","www.golaurens.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",2653,8.43,0.00,3.18
"12-DEC-2023","www.golaurens.com","Unruly Line Item",130,0.40,0.00,3.09
"12-DEC-2023","www.stilt.com","Media.net - S2S - Line Item",456,1.87,0.00,4.11
"12-DEC-2023","www.stilt.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",15545,24.51,0.00,1.58
"12-DEC-2023","www.stilt.com","Unruly Line Item",627,2.24,0.00,3.58
"13-DEC-2023","calcsimple.com","Unruly Line Item",764,2.12,0.00,2.78
"13-DEC-2023","commandcooking.com","Conversant - CC - Line item",1227,2.83,0.00,2.31
"13-DEC-2023","commandcooking.com","Default_CommandCooking_Mobile_Atd_AdX_video",56277,28.14,0.00,0.50
"13-DEC-2023","commandcooking.com","Media.net - Line item",1309,3.27,0.00,2.50
"13-DEC-2023","commandcooking.com","Media.net - S2S - Line Item",6928,20.13,0.00,2.91
"13-DEC-2023","commandcooking.com","OpenX - CC - Line Item",1878,4.08,0.00,2.17
"13-DEC-2023","commandcooking.com","Pubmatic Line item",1269,2.73,0.00,2.15
"13-DEC-2023","commandcooking.com","Pulsepoint - CC - Line Item",141,0.42,0.00,2.95
"13-DEC-2023","commandcooking.com","Rise Line Item",771,2.61,0.00,3.38
"13-DEC-2023","commandcooking.com","Sharethrough - Line item",418,2.44,0.00,5.84
"13-DEC-2023","commandcooking.com","Smartadserver - Line item - CC",727,2.11,0.00,2.90
"13-DEC-2023","commandcooking.com","UAM_USD [easiereats, commandcooking, cookingprofessionally, heartlandcooking,Golaurens,THC,Stilt]",9703,19.20,0.00,1.98
"13-DEC-2023","commandcooking.com","Unruly Line Item",259,1.03,0.00,3.99
