day;App/Site Domain Name;Gross Revenue;impressions;Estimated Net Revenue
2023-12-18T00:00:00;lazycooking.com;0.430870;66;0.344696
2023-12-18T00:00:00;texashillcountry.com;0.196170;123;0.156936
2023-12-18T00:00:00;www.divyabhaskar.co.in;0.001214;6;0.000971
2023-12-10T00:00:00;m.thewire.in;0.312525;115;0.250020
2023-12-10T00:00:00;mamascooking.com;3.568220;684;2.854576
2023-12-02T00:00:00;thewire.in;0.575277;250;0.460222
2023-12-02T00:00:00;www.binged.com;1.500239;2388;1.200191
2023-12-02T00:00:00;britishmalayali.co.uk;0.067844;430;0.054275
2023-12-14T00:00:00;glamourfame.com;0.074179;44;0.059343
2023-12-14T00:00:00;keralakaumudi.com;1.376634;1727;1.101307
2023-12-14T00:00:00;www.becauseofthemwecan.com;1.811819;2807;1.449455
2023-12-07T00:00:00;www.stilt.com;1.444802;709;1.155842
2023-12-07T00:00:00;kookmutsjes.com;1.238865;1335;0.991092
2023-12-07T00:00:00;www.thenewsminute.com;0.437075;757;0.349660
2023-12-19T00:00:00;www.avsim.com;0.600144;941;0.480115
2023-12-19T00:00:00;marriedceleb.com;0.584230;506;0.467384
2023-12-19T00:00:00;www.standartnews.com;1.613415;1072;1.290732
2023-12-19T00:00:00;www.andysautosport.com;0.230787;242;0.184630
2023-12-11T00:00:00;news.php;0.000210;1;0.000168
2023-12-11T00:00:00;glamourpath.com;0.081437;64;0.065150
2023-12-11T00:00:00;www.flickchart.com;0.709294;885;0.567435
2023-12-03T00:00:00;www.stilt.com;2.092002;947;1.673602
2023-12-03T00:00:00;www.golaurens.com;0.982695;871;0.786156
2023-12-15T00:00:00;www.avsim.com;0.637413;809;0.509930
2023-12-15T00:00:00;recipesaver.com;2.316142;386;1.852914
2023-12-15T00:00:00;www.homernews.com;0.007974;13;0.006379
2023-12-04T00:00:00;www.m9.news;0.738015;565;0.590412
2023-12-04T00:00:00;marriedceleb.com;0.645598;532;0.516478
2023-12-04T00:00:00;commandcooking.com;1.862600;578;1.490080
2023-12-04T00:00:00;www.riverbender.com;0.195110;59;0.156088
2023-12-04T00:00:00;www.standartnews.com;0.756470;488;0.605176
2023-12-04T00:00:00;www.andysautosport.com;0.610577;408;0.488462
2023-12-16T00:00:00;heartlandcooking.com;2.398925;647;1.919140
2023-12-08T00:00:00;lazycooking.com;0.995550;195;0.796440
2023-12-08T00:00:00;www.popctrivia.com;3.363324;687;2.690659
2023-12-08T00:00:00;www.westernjournal.com;0.704117;366;0.563294
2023-12-08T00:00:00;www.becauseofthemwecan.com;1.250625;1101;1.000500
2023-12-20T00:00:00;thewire.in;0.038105;11;0.030484
2023-12-12T00:00:00;ijr.com;0.151578;154;0.121262
2023-12-12T00:00:00;kookmutsjes.com;1.171403;1273;0.937122
2023-12-12T00:00:00;recipereader.com;5.018850;698;4.015080
2023-12-12T00:00:00;schoolofwordplay.com;0.177091;80;0.141673
2023-12-05T00:00:00;glamourpath.com;0.115182;121;0.092146
2023-12-05T00:00:00;www.westernjournal.com;0.993305;609;0.794644
2023-12-17T00:00:00;thewire.in;0.151429;59;0.121143
2023-12-09T00:00:00;recipesaver.com;2.105706;507;1.684565
2023-12-09T00:00:00;recipereader.com;3.241345;749;2.593076
2023-12-09T00:00:00;epaper.freepressjournal.in;0.010198;13;0.008158
2023-12-01T00:00:00;theprint.in;4.193667;10547;3.354934
2023-12-01T00:00:00;britishmalayali.co.uk;0.067990;464;0.054392
2023-12-13T00:00:00;latest.php;0.000734;4;0.000587
2023-12-13T00:00:00;keralakaumudi.com;1.814999;2005;1.451999
2023-12-13T00:00:00;www.flickchart.com;0.571000;688;0.456800
2023-12-13T00:00:00;www.timeshighereducation.com;1.915577;1565;1.532462
2023-12-06T00:00:00;m.thewire.in;0.278021;117;0.222417
2023-12-06T00:00:00;www.standartnews.com;0.880025;545;0.704020
2023-12-06T00:00:00;www.thenewsminute.com;0.377469;810;0.301975
2023-12-10T00:00:00;theprint.in;1.907384;4093;1.525907
2023-12-10T00:00:00;www.popctrivia.com;1.142876;235;0.914301
2023-12-10T00:00:00;www.westernjournal.com;1.069665;457;0.855732
2023-12-02T00:00:00;ijr.com;0.094190;111;0.075352
2023-12-02T00:00:00;www.bhaskar.com;0.002864;9;0.002291
2023-12-02T00:00:00;www.golaurens.com;1.685262;904;1.348210
2023-12-02T00:00:00;goodcleanhumor.com;0.533231;97;0.426585
2023-12-02T00:00:00;www.marunadanmalayalee.com;0.854030;2238;0.683224
2023-12-14T00:00:00;mybaseguide.com;0.002625;1;0.002100
2023-12-14T00:00:00;www.elections.in;0.000893;11;0.000714
2023-12-14T00:00:00;www.homernews.com;0.045716;49;0.036573
2023-12-19T00:00:00;wordthirst.com;0.072817;63;0.058254
2023-12-19T00:00:00;www.casebriefs.com;0.014740;2;0.011792
2023-12-19T00:00:00;www.mybaseguide.com;0.012347;3;0.009878
2023-12-19T00:00:00;www.divyabhaskar.co.in;0.001042;1;0.000834
2023-12-19T00:00:00;www.downtoearth.org.in;0.108569;311;0.086855
2023-12-11T00:00:00;calcsimple.com;0.163935;141;0.131148
